timestamp,source_file,page,raw_data,ai_01,ai_21,ai_91,ai_92,ai_93,ai_94,ai_95,ai_99,other
31.07.2025 19:52:28,Test_dmr.pdf,стр.37, 0104664056575019215dOZTZ91EE1192Eo9kLVLm5GCe+TOPE1PPDXgtyByFATIFNAzzXHrakHc=,,,EE11,Eo9kLVLm5GCe+TOPE1PPDXgtyByFATIFNAzzXHrakHc=,,,,, 0:104664056575019215dOZTZ
31.07.2025 19:52:28,Test_dmr.pdf,стр.38, 0104664056575019215**pLo91EE1192LoqXcuPwurEQFZdCUPpwn5iXwqiTOIH4vsQcTulmdr0=,,,EE11,LoqXcuPwurEQFZdCUPpwn5iXwqiTOIH4vsQcTulmdr0=,,,,, 0:104664056575019215**pLo
31.07.2025 19:52:28,Test_dmr.pdf,стр.39, 0104664056575019215MI7hP91EE1192rBbN6L3fdf1qVBzGyr5P0FMuZkIKkUpkvJab7tOZZ6Q=,,,EE11,rBbN6L3fdf1qVBzGyr5P0FMuZkIKkUpkvJab7tOZZ6Q=,,,,, 0:104664056575019215MI7hP
31.07.2025 19:52:28,Test_dmr.pdf,стр.40, 0104664056575019215G4aHI91EE1192F9lgpH3K3mpV9OAOtoNcOMs4oq+gd/SGLJ0jLMUpY04=,,,EE11,F9lgpH3K3mpV9OAOtoNcOMs4oq+gd/SGLJ0jLMUpY04=,,,,, 0:104664056575019215G4aHI
31.07.2025 19:52:28,Test_dmr.pdf,стр.41, 0104664056575019215k*t-i91EE1192ihn9dH0Afe+HBBVl3LdRdJMDOC9b5NQgJfLew7pf1Fc=,,,EE11,ihn9dH0Afe+HBBVl3LdRdJMDOC9b5NQgJfLew7pf1Fc=,,,,, 0:104664056575019215k*t-i
31.07.2025 19:52:28,Test_dmr.pdf,стр.42, 0104664056575019215D6iCj91EE1192Gk3hR2K4A//KTFEZwJm92dcoezm/YFMHYHJF1YtIszI=,,,EE11,Gk3hR2K4A//KTFEZwJm92dcoezm/YFMHYHJF1YtIszI=,,,,, 0:104664056575019215D6iCj
31.07.2025 19:52:28,Test_dmr.pdf,стр.43, 0104664056575019215cbLnP91EE1192pI7h120OOu641TktSJsWLpHJokqEoIVW8yi/Ug7XhTY=,,,EE11,pI7h120OOu641TktSJsWLpHJokqEoIVW8yi/Ug7XhTY=,,,,, 0:104664056575019215cbLnP
31.07.2025 19:52:28,Test_dmr.pdf,стр.44, 0104664056575019215qTPm691EE1192r3ewRqnmAsT3Jo3/yWQA9CiuBA1IAfTxuhBA+1ik+Ps=,,,EE11,r3ewRqnmAsT3Jo3/yWQA9CiuBA1IAfTxuhBA+1ik+Ps=,,,,, 0:104664056575019215qTPm6
31.07.2025 19:52:28,Test_dmr.pdf,стр.45, 0104664056575019215+RU+T91EE1192XrYRhbvZ3Uz6E7kvwxTBHwHnkcREv/fWueBynZ5BEOk=,,,EE11,XrYRhbvZ3Uz6E7kvwxTBHwHnkcREv/fWueBynZ5BEOk=,,,,, 0:104664056575019215+RU+T
31.07.2025 19:52:28,Test_dmr.pdf,стр.46, 0104664056575019215AFdZP91EE1192TuGIhsDqdIWxlxquIg98js/f+Z3TIXHg/Eo4jJYlMOo=,,,EE11,TuGIhsDqdIWxlxquIg98js/f+Z3TIXHg/Eo4jJYlMOo=,,,,, 0:104664056575019215AFdZP
